date,value
15.03.2023, 11.0122
14.03.2023, 10.9612
13.03.2023, 10.9558
12.03.2023, 11.0191
10.03.2023, 11.0189
09.03.2023, 10.8899
08.03.2023, 10.9358
07.03.2023, 10.9190
06.03.2023, 10.8861
05.03.2023, 10.9489
03.03.2023, 10.9495
02.03.2023, 10.8914
01.03.2023, 10.9403
28.02.2023, 10.8129
27.02.2023, 10.7419
26.02.2023, 10.9444
24.02.2023, 10.9442
23.02.2023, 10.8568
22.02.2023, 10.8817
21.02.2023, 10.9184
20.02.2023, 10.8678
